ID,Long_start,Lat_start,Long_end,Lat_end,Length,Speed
77,104.0860338,30.64221009,30.6431534,177.9770438,104.0875368,34
78,104.1747682,30.65471347,30.65114609,395.6032631,104.1749113,29.25
79,104.1747682,30.65471347,30.65487167,804.1917262,104.1831593,15.95
80,104.1747682,30.65471347,30.65730466,1712.154667,104.1571519,27.7
81,104.1747682,30.65471347,30.65937538,516.7491094,104.1748633,36.75
82,103.9776869,30.61166959,30.60924975,598.1445228,103.9721097,30.75
83,103.9776869,30.61166959,30.62091828,1158.521852,103.972055,45.55
84,104.064657,30.61877337,30.61857201,439.4701222,104.0600781,44.5
85,104.064657,30.61877337,30.61653136,248.4815623,104.0646499,49.75
86,104.064657,30.61877337,30.61879884,471.5487556,104.0695764,30.74285714
87,104.064657,30.61877337,30.62255535,419.311019,104.0645381,73.5125
