id,speed,road_segment_id
322,67.11875,322
323,46.32375,323
324,24.7,324
325,43.47083333,325
326,22.69791667,326
327,23.70625,327
328,24.08,328
329,52.3202381,329
330,54.54,330
331,37.43333333,331
332,30.75,332
333,28.78333333,333
334,29.76666667,334
335,26.32,335
336,46.725,336
337,52.04375,337
338,23.4,338
339,45.39285714,339
340,34.8,340
341,52.25,341
342,26.63333333,342
343,33.62,343
344,42.27791667,344
345,54.43333333,345
346,58.45,346
347,56.44166667,347
348,44.9,348
349,30.2,349
350,42.05,350
351,16.1375,351
352,23.45,352
353,35.725,353
354,22.02083333,354
355,22.25,355
356,21.73333333,356
357,34.2,357
358,21.575,358
359,42.76875,359
360,44.068125,360
361,32.42,361
362,28.55208333,362
363,24.05,363
364,72.35,364
365,64.5,365
366,43.75,366
